time,bid,ask,close,ema_10,ema_20,ema_30,ema_40,ema_50,upper_band,middle_band,lower_band,signal,bolling_pos,trend
2024-06-05 11:27:04,1.08748,1.0875,1.0874899999999998,1.0874899999999998,1.0874899999999998,1.0874899999999998,1.0874899999999998,1.0874899999999998,,,,hold,within_bands,0
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874890909090908,1.0874895238095237,1.0874896774193548,1.087489756097561,1.0874898039215684,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.087488347107438,1.0874890929705214,1.087489375650364,1.087489524092802,1.0874896155324871,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.087487738542449,1.0874887031638052,1.0874890933503405,1.0874893034053483,1.0874894345312132,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874872406256402,1.087488350481538,1.0874888292632217,1.0874890934831363,1.0874892606280282,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.08748683323916,1.0874880313880582,1.0874885822139815,1.087488893801032,1.087489093544576,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874864999229492,1.0874877426844336,1.087488351103402,1.0874887038595182,1.087488933013416,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874862272096857,1.0874874814763924,1.0874881349031824,1.0874885231834441,1.0874887787775958,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.087486004080652,1.0874872451453075,1.0874879326513642,1.087488351320837,1.087488630590239,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874858215205334,1.087487031321945,1.0874877434480503,1.087488187841772,1.0874884882141511,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874856721531636,1.087486837862712,1.0874875664514019,1.0874880323372953,1.0874883514214393,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874855499434974,1.087486662828168,1.0874874008738922,1.0874878844184028,1.0874882199931475,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874854499537705,1.0874865044635806,1.0874872459788023,1.087487743715066,1.0874880937189064,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.087485368143994,1.0874863611813348,1.087487101076944,1.0874876098753068,1.0874879723965962,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874853012087222,1.0874862315450171,1.0874869655235928,1.0874874825643162,1.0874878558320238,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874852464434999,1.0874861142550154,1.0874868387156191,1.0874873614636178,1.087487743838611,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874852016355907,1.0874860081354902,1.087486720088805,1.0874872462702705,1.0874876362370969,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874851649745743,1.0874859121225864,1.0874866091153337,1.087487136696111,1.08748753285525,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874851349791972,1.0874858252537687,1.087486505301441,1.0874870324670325,1.087487433527593,,,,hold,within_bands,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.087485110437525,1.0874857466581718,1.0874864081852191,1.0874869333222992,1.0874873380951384,1.0874852500000005,1.0874852500000005,1.0874852500000005,hold,near_lower_band,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.087485090357975,1.0874856755478697,1.08748631733456,1.0874868390138943,1.087487246405133,1.0874850000000005,1.0874850000000005,1.0874850000000005,hold,near_lower_band,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.087485073929252,1.0874856112099773,1.0874862323452335,1.0874867493058995,1.087487158310814,1.0874850000000005,1.0874850000000005,1.0874850000000005,hold,near_lower_band,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874850604875699,1.0874855529995033,1.0874861528390893,1.0874866639739045,1.0874870736711744,1.0874850000000005,1.0874850000000005,1.0874850000000005,hold,near_lower_band,-1
2024-06-05 11:27:05,1.08748,1.08749,1.087485,1.0874850494898298,1.087485500332884,1.0874860784623739,1.0874865828044458,1.0874869923507362,1.0874850000000005,1.0874850000000005,1.0874850000000005,hold,near_lower_band,-1
